ID Transaksi,Produk,Kategori,Satuan,Kuantitas,Harga Satuan,Total Harga,Tanggal Pembelian
T1053,Besi Beton,Bahan Logam dan PVC,Batang,8,101000,808000,1/8/2024
T1627,Semen,Material Konstruksi,Zak,8,63000,504000,1/1/2024
T1103,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/4/2024
T1098,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/9/2024
T1821,Pasir,Material Konstruksi,Meter Kubik,2,447000,894000,1/3/2024
T1160,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/4/2024
T1815,Semen,Material Konstruksi,Zak,5,63000,315000,1/4/2024
T1400,Pipa PVC,Bahan Logam dan PVC,Batang,8,50000,400000,1/1/2024
T2045,Cat Tembok,Cat,Kaleng,6,232000,1392000,1/6/2024
T1437,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/8/2024
T1797,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/1/2024
T2019,Semen,Material Konstruksi,Zak,5,63000,315000,1/3/2024
T1016,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/5/2024
T2060,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/8/2024
T1606,Semen,Material Konstruksi,Zak,5,63000,315000,1/3/2024
T1190,Semen,Material Konstruksi,Zak,4,63000,252000,1/5/2024
T1127,Kuas,Alat,Buah,1,18000,18000,1/2/2024
T1565,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/3/2024
T1625,Pipa PVC,Bahan Logam dan PVC,Batang,8,50000,400000,1/6/2024
T1154,Kuas,Alat,Buah,2,18000,36000,1/2/2024
T1245,Semen,Material Konstruksi,Zak,8,63000,504000,1/7/2024
T1920,Kuas,Alat,Buah,10,18000,180000,1/8/2024
T1035,Kuas,Alat,Buah,9,18000,162000,1/4/2024
T1511,Semen,Material Konstruksi,Zak,8,63000,504000,1/3/2024
T1833,Kuas,Alat,Buah,2,18000,36000,1/7/2024
T1574,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/6/2024
T1681,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/6/2024
T1992,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/8/2024
T1773,Cat Kayu,Cat,Kaleng,5,89000,445000,1/4/2024
T1935,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/4/2024
T1656,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/8/2024
T1740,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/5/2024
T2012,Kuas,Alat,Buah,9,18000,162000,1/1/2024
T1559,Semen,Material Konstruksi,Zak,2,63000,126000,1/9/2024
T1896,Pipa PVC,Bahan Logam dan PVC,Batang,5,50000,250000,1/7/2024
T1860,Cat Kayu,Cat,Kaleng,6,89000,534000,1/7/2024
T1996,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/6/2024
T2008,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/4/2024
T1473,Cat Kayu,Cat,Kaleng,10,89000,890000,1/5/2024
T1356,Kuas,Alat,Buah,4,18000,72000,1/7/2024
T1801,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/4/2024
T1768,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/8/2024
T2039,Cat Kayu,Cat,Kaleng,4,89000,356000,1/8/2024
T1496,Kuas,Alat,Buah,2,18000,36000,1/4/2024
T1379,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/1/2024
T2066,Semen,Material Konstruksi,Zak,3,63000,189000,1/2/2024
T1034,Cat Tembok,Cat,Kaleng,2,232000,464000,1/7/2024
T1775,Semen,Material Konstruksi,Zak,10,63000,630000,1/2/2024
T1825,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/5/2024
T1728,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/5/2024
T1456,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/8/2024
T1977,Cat Tembok,Cat,Kaleng,1,232000,232000,1/1/2024
T1662,Kuas,Alat,Buah,8,18000,144000,1/5/2024
T1278,Semen,Material Konstruksi,Zak,7,63000,441000,1/9/2024
T1061,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/4/2024
T1396,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/3/2024
T1395,Semen,Material Konstruksi,Zak,4,63000,252000,1/9/2024
T1454,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/4/2024
T1143,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/5/2024
T1395,Cat Kayu,Cat,Kaleng,3,89000,267000,1/9/2024
T1568,Besi Beton,Bahan Logam dan PVC,Batang,5,101000,505000,1/7/2024
T1934,Cat Kayu,Cat,Kaleng,10,89000,890000,1/5/2024
T1732,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/2/2024
T1953,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/1/2024
T1169,Batu Bata,Material Konstruksi,Buah,7,1000,7000,1/9/2024
T1028,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/5/2024
T1499,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/1/2024
T1444,Kuas,Alat,Buah,9,18000,162000,1/6/2024
T1038,Kuas,Alat,Buah,10,18000,180000,1/3/2024
T1475,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/8/2024
T2024,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/3/2024
T1823,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/1/2024
T1133,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/5/2024
T1202,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/5/2024
T1046,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/9/2024
T1655,Semen,Material Konstruksi,Zak,1,63000,63000,1/7/2024
T1735,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/8/2024
T1667,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/5/2024
T1675,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/8/2024
T1040,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/4/2024
T1928,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/5/2024
T1389,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/2/2024
T1449,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/8/2024
T2015,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/1/2024
T1145,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/1/2024
T1062,Cat Kayu,Cat,Kaleng,10,89000,890000,1/9/2024
T1104,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/3/2024
T1822,Semen,Material Konstruksi,Zak,5,63000,315000,1/6/2024
T1770,Semen,Material Konstruksi,Zak,5,63000,315000,1/5/2024
T1676,Kuas,Alat,Buah,5,18000,90000,1/3/2024
T1456,Semen,Material Konstruksi,Zak,5,63000,315000,1/1/2024
T1448,Cat Tembok,Cat,Kaleng,4,232000,928000,1/1/2024
T1094,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/8/2024
T1249,Kuas,Alat,Buah,10,18000,180000,1/2/2024
T1770,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/2/2024
T1235,Semen,Material Konstruksi,Zak,6,63000,378000,1/5/2024
T1623,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/7/2024
T1577,Cat Kayu,Cat,Kaleng,5,89000,445000,1/3/2024
T1763,Kuas,Alat,Buah,6,18000,108000,1/2/2024
T1097,Batu Bata,Material Konstruksi,Buah,2,1000,2000,1/2/2024
T1248,Cat Tembok,Cat,Kaleng,2,232000,464000,1/6/2024
T2019,Semen,Material Konstruksi,Zak,8,63000,504000,1/7/2024
T1132,Cat Tembok,Cat,Kaleng,1,232000,232000,1/4/2024
T1784,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/4/2024
T1545,Pipa PVC,Bahan Logam dan PVC,Batang,5,50000,250000,1/6/2024
T1204,Cat Kayu,Cat,Kaleng,2,89000,178000,1/3/2024
T1847,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/6/2024
T1359,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/4/2024
T1666,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/2/2024
T2028,Cat Tembok,Cat,Kaleng,3,232000,696000,1/2/2024
T1837,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/1/2024
T1523,Cat Kayu,Cat,Kaleng,9,89000,801000,1/2/2024
T1793,Semen,Material Konstruksi,Zak,10,63000,630000,1/9/2024
T1238,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/8/2024
T1803,Semen,Material Konstruksi,Zak,10,63000,630000,1/1/2024
T1718,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/8/2024
T1027,Batu Bata,Material Konstruksi,Buah,10,1000,10000,1/7/2024
T1364,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/8/2024
T2026,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/7/2024
T1805,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/3/2024
T1484,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/7/2024
T1085,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/9/2024
T1024,Semen,Material Konstruksi,Zak,4,63000,252000,1/4/2024
T1108,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/2/2024
T1033,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/8/2024
T1747,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/3/2024
T1691,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/2/2024
T1661,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/5/2024
T1623,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/4/2024
T1758,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/3/2024
T1228,Cat Tembok,Cat,Kaleng,8,232000,1856000,1/4/2024
T1467,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/4/2024
T1880,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/8/2024
T1573,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/9/2024
T2049,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/3/2024
T1835,Cat Kayu,Cat,Kaleng,6,89000,534000,1/3/2024
T1531,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/1/2024
T1653,Semen,Material Konstruksi,Zak,10,63000,630000,1/6/2024
T1844,Cat Kayu,Cat,Kaleng,4,89000,356000,1/3/2024
T1689,Semen,Material Konstruksi,Zak,6,63000,378000,1/8/2024
T1171,Cat Kayu,Cat,Kaleng,7,89000,623000,1/2/2024
T1320,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/5/2024
T1776,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/8/2024
T1317,Batu Bata,Material Konstruksi,Buah,7,1000,7000,1/2/2024
T1587,Cat Kayu,Cat,Kaleng,8,89000,712000,1/3/2024
T1917,Cat Tembok,Cat,Kaleng,1,232000,232000,1/8/2024
T1269,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/3/2024
T1004,Cat Kayu,Cat,Kaleng,5,89000,445000,1/3/2024
T2065,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/9/2024
T1615,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/3/2024
T2046,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/1/2024
T2006,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/7/2024
T1103,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/3/2024
T1197,Kuas,Alat,Buah,3,18000,54000,1/6/2024
T1553,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/4/2024
T1477,Semen,Material Konstruksi,Zak,4,63000,252000,1/7/2024
T2020,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/5/2024
T1195,Kuas,Alat,Buah,1,18000,18000,1/6/2024
T1516,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/1/2024
T1814,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/4/2024
T1014,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/8/2024
T1843,Cat Kayu,Cat,Kaleng,4,89000,356000,1/2/2024
T1793,Cat Tembok,Cat,Kaleng,3,232000,696000,1/5/2024
T1871,Besi Beton,Bahan Logam dan PVC,Batang,10,101000,1010000,1/6/2024
T1022,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/8/2024
T1992,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/8/2024
T1887,Besi Beton,Bahan Logam dan PVC,Batang,4,101000,404000,1/5/2024
T2008,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/9/2024
T2052,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/8/2024
T1778,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/7/2024
T1419,Semen,Material Konstruksi,Zak,5,63000,315000,1/6/2024
T2024,Kuas,Alat,Buah,9,18000,162000,1/6/2024
T1935,Kuas,Alat,Buah,3,18000,54000,1/5/2024
T1201,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/4/2024
T1936,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/3/2024
T1074,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/6/2024
T1474,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/2/2024
T1663,Semen,Material Konstruksi,Zak,3,63000,189000,1/9/2024
T1709,Kuas,Alat,Buah,4,18000,72000,1/5/2024
T1176,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/6/2024
T1966,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/1/2024
T1688,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/4/2024
T1475,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/8/2024
T1989,Semen,Material Konstruksi,Zak,7,63000,441000,1/7/2024
T1722,Cat Tembok,Cat,Kaleng,8,232000,1856000,1/1/2024
T1017,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/1/2024
T1193,Cat Tembok,Cat,Kaleng,2,232000,464000,1/6/2024
T1946,Semen,Material Konstruksi,Zak,2,63000,126000,1/4/2024
T1924,Semen,Material Konstruksi,Zak,8,63000,504000,1/7/2024
T1799,Kuas,Alat,Buah,3,18000,54000,1/3/2024
T1086,Pasir,Material Konstruksi,Meter Kubik,1,447000,447000,1/7/2024
T2031,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/1/2024
T1442,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/8/2024
T1578,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/3/2024
T1095,Semen,Material Konstruksi,Zak,8,63000,504000,1/8/2024
T1164,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/6/2024
T1943,Cat Kayu,Cat,Kaleng,7,89000,623000,1/2/2024
T1774,Kuas,Alat,Buah,10,18000,180000,1/1/2024
T1146,Kuas,Alat,Buah,5,18000,90000,1/3/2024
T1513,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/1/2024
T1745,Cat Kayu,Cat,Kaleng,4,89000,356000,1/2/2024
T1395,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/4/2024
T1933,Cat Kayu,Cat,Kaleng,5,89000,445000,1/9/2024
T1939,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/3/2024
T1853,Besi Beton,Bahan Logam dan PVC,Batang,10,101000,1010000,1/8/2024
T1631,Semen,Material Konstruksi,Zak,10,63000,630000,1/7/2024
T1525,Semen,Material Konstruksi,Zak,2,63000,126000,1/9/2024
T1236,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/9/2024
T1493,Kuas,Alat,Buah,9,18000,162000,1/4/2024
T1804,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/6/2024
T1041,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/4/2024
T1033,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/1/2024
T1997,Cat Kayu,Cat,Kaleng,9,89000,801000,1/7/2024
T1341,Cat Kayu,Cat,Kaleng,10,89000,890000,1/5/2024
T1730,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/8/2024
T1820,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/7/2024
T1980,Semen,Material Konstruksi,Zak,10,63000,630000,1/2/2024
T1818,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/5/2024
T1793,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/5/2024
T1186,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/7/2024
T1097,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/7/2024
T1405,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/5/2024
T1750,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/4/2024
T1957,Cat Tembok,Cat,Kaleng,3,232000,696000,1/2/2024
T1072,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/9/2024
T1060,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/8/2024
T1130,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/2/2024
T1101,Cat Kayu,Cat,Kaleng,3,89000,267000,1/2/2024
T2067,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/1/2024
T1011,Semen,Material Konstruksi,Zak,10,63000,630000,1/8/2024
T1660,Cat Tembok,Cat,Kaleng,8,232000,1856000,1/1/2024
T1373,Kuas,Alat,Buah,5,18000,90000,1/6/2024
T1465,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/9/2024
T1046,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/7/2024
T1980,Semen,Material Konstruksi,Zak,7,63000,441000,1/6/2024
T1136,Kuas,Alat,Buah,5,18000,90000,1/3/2024
T1826,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/7/2024
T1934,Pasir,Material Konstruksi,Meter Kubik,4,447000,1788000,1/3/2024
T1614,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/1/2024
T1619,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/2/2024
T1935,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/7/2024
T1496,Kuas,Alat,Buah,7,18000,126000,1/4/2024
T1721,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/1/2024
T1738,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/2/2024
T2062,Kuas,Alat,Buah,2,18000,36000,1/4/2024
T1747,Semen,Material Konstruksi,Zak,5,63000,315000,1/9/2024
T1265,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/9/2024
T1388,Kuas,Alat,Buah,4,18000,72000,1/1/2024
T1375,Semen,Material Konstruksi,Zak,3,63000,189000,1/2/2024
T1292,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/9/2024
T1584,Semen,Material Konstruksi,Zak,5,63000,315000,1/1/2024
T1963,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/5/2024
T1806,Cat Kayu,Cat,Kaleng,6,89000,534000,1/8/2024
T1563,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/4/2024
T1884,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/3/2024
T1217,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/9/2024
T1258,Semen,Material Konstruksi,Zak,10,63000,630000,1/8/2024
T1053,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/7/2024
T2043,Semen,Material Konstruksi,Zak,9,63000,567000,1/1/2024
T1849,Cat Tembok,Cat,Kaleng,2,232000,464000,1/1/2024
T1159,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/3/2024
T1892,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/9/2024
T1951,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/3/2024
T1920,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/2/2024
T1954,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/2/2024
T1327,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/5/2024
T1036,Pasir,Material Konstruksi,Meter Kubik,6,447000,2682000,1/5/2024
T2063,Semen,Material Konstruksi,Zak,2,63000,126000,1/3/2024
T2063,Cat Tembok,Cat,Kaleng,8,232000,1856000,1/2/2024
T1215,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/3/2024
T1570,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/9/2024
T1355,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/6/2024
T1556,Kuas,Alat,Buah,5,18000,90000,1/9/2024
T1425,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/5/2024
T1355,Kuas,Alat,Buah,2,18000,36000,1/2/2024
T2069,Kuas,Alat,Buah,2,18000,36000,1/1/2024
T1359,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/2/2024
T2007,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/6/2024
T1585,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/9/2024
T1988,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/6/2024
T1483,Besi Beton,Bahan Logam dan PVC,Batang,4,101000,404000,1/2/2024
T1523,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/6/2024
T1885,Semen,Material Konstruksi,Zak,10,63000,630000,1/1/2024
T1209,Batu Bata,Material Konstruksi,Buah,10,1000,10000,1/2/2024
T1947,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/7/2024
T1878,Semen,Material Konstruksi,Zak,6,63000,378000,1/3/2024
T1737,Kuas,Alat,Buah,10,18000,180000,1/4/2024
T1396,Semen,Material Konstruksi,Zak,3,63000,189000,1/9/2024
T1796,Kuas,Alat,Buah,7,18000,126000,1/4/2024
T2045,Pasir,Material Konstruksi,Meter Kubik,4,447000,1788000,1/3/2024
T1988,Semen,Material Konstruksi,Zak,8,63000,504000,1/5/2024
T1569,Cat Kayu,Cat,Kaleng,4,89000,356000,1/6/2024
T2008,Pasir,Material Konstruksi,Meter Kubik,3,447000,1341000,1/9/2024
T1491,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/8/2024
T1519,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/2/2024
T1386,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/5/2024
T1898,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/4/2024
T1520,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/6/2024
T2013,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/5/2024
T1583,Cat Kayu,Cat,Kaleng,2,89000,178000,1/1/2024
